text,label,phishing_type,severity,confidence
"안녕하세요, 컨퍼런스 후에 다시 만나자고 이야기를 나눴습니다. 출장 중에 예상치 못한 상황이 발생했습니다. 호텔에서 지갑을 도난당해 결제 인증에 실패했습니다. 임시 대출을 도와주실 수 있나요? 다음주에 다시 이전하겠습니다.

키워드: 미망인, 자선 행사, 호텔, 우리가 만났어요, 돈이 필요해요, 환승

감사합니다,
조던 응우옌",1,romance_dating,medium,0.86
"제목: 프로젝트 업데이트

좋은 아침입니다. 업데이트된 다음 주 일정이 아래에 포함되어 있습니다. 항목을 확인하고 의견을 추가하세요.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
제이미 파텔",0,legitimate,low,0.96
"안녕하세요. 귀하의 계정과 관련하여 긴급 공지를 드립니다. 귀하의 액세스 권한이 곧 만료됩니다. 중단을 피하려면 지금 행동하고 지침을 즉시 따르십시오. 이 작업은 시간에 민감한 작업이므로 곧 종료됩니다.

키워드: 지금 행동하세요, 곧 만료됩니다, 곧 종료됩니다, 오늘만

보안팀,
조던 칸",1,urgency,high,0.84
"새로운 알림이 왔습니다. 업데이트를 보려면 여기를 클릭하십시오. 귀하의 편의를 위해 링크와 첨부 파일이 포함되어 있습니다. 자동 생성된 이 메시지에 답장하지 마세요.

키워드: 경고, 여기를 클릭하세요, 공지, 비밀

보안팀,
샘 웡",1,generic_phishing,medium,0.77
"공지, 최종 경고입니다. 응답하지 않으면 계정이 차단됩니다. 벌금을 피하려면 즉각적인 조치가 필요합니다. 귀하의 사건이 해결되지 않은 경우 판사에게 회부됩니다.

키워드: 기소 삭제

계정 서비스,
조던 가르시아",1,threats,high,0.85
"제목: 송장 확인

다음주 수요일에 연구실을 예약했어요. 캘린더 초대에는 위치 및 장비 세부정보가 포함됩니다.

오늘 나중에 슬라이드를 공유하겠습니다.

드림
라일리 싱",0,legitimate,low,0.97
"제목: 문서 검토

워크숍에 참석해 주셔서 감사합니다. 다음은 참고 자료 및 슬라이드 데크에 대한 링크입니다.

오늘 나중에 슬라이드를 공유하겠습니다.

드림
카메론 리",0,legitimate,low,1.0
"[안내] 수신인 귀하, 귀하의 계정에 관한 마지막 공지를 보내는 중입니다. 24시간 이내에 액세스가 제한됩니다. 중단을 방지하려면 지금 양식을 작성하세요. 이 제안은 시간에 민감하며 자정에 만료됩니다. 즉시 지침을 따르십시오.

키워드: 즉시 만료됨 대기 시급한 처리 필요(Time-sensitive)

지원 데스크,
케이시 웡",1,urgency,high,0.89
"사용자 여러분, 귀하의 계정과 관련하여 긴급 공지를 드립니다. 귀하의 액세스 권한이 곧 만료됩니다. 중단을 피하려면 지금 행동하고 지침을 즉시 따르십시오. 이 작업은 시간에 민감한 작업이므로 곧 종료됩니다.

키워드: 즉시, 오늘만, 재고가 있는 동안, 만료됨, 기다리지 마세요

감사합니다,
라일리 웡",1,urgency,high,0.86
"제목: 탑승을 환영합니다

수정된 문서를 예제와 함께 공유합니다. 새로운 엔드포인트는 섹션 2에 설명되어 있습니다.

타이밍이 맞는지 알려주세요.

드림
알렉스 브라운",0,legitimate,low,0.99
"사용자 여러분, IT 부서에서 귀하의 워크스테이션에서 맬웨어 감염을 감지했습니다. 바이러스 백신 검사를 실행하고 제공된 링크에서 보안 패치를 설치하여 문제를 해결하십시오.

키워드: 기술 지원, 문제, 유지 관리

컴플라이언스팀,
샘 싱",1,tech_support,high,0.93
"[안내] 수신인 귀하, 우리가 우연히 만났던 어린이 병원 자선 갈라에 대해 언급하셨던 것이 기억납니다. 나는 지금 발이 묶인 여행자입니다. 호텔에서 숙박 연장을 위해 결제 확인을 요청하고 있습니다. 긴급 대출을 도와주시면 곧 교체 카드를 제공할 수 있습니다. 신탁 구축은 저에게 중요합니다.

키워드 : 우리가 이야기한, 금전적 요청, 특이한, 지불 확인, 어린이 병원

보안팀,
테일러 브라운",1,social_engineering_advanced,high,0.95
"제목: 온보딩 체크리스트

좋은 아침입니다. 업데이트된 다음 주 일정이 아래에 포함되어 있습니다. 항목을 확인하고 의견을 추가하세요.

만나기 전에 자유롭게 메모를 추가하세요.

드림
에이버리킴",0,legitimate,low,0.99
"제목: 네트워킹 이벤트 세부정보

다음주 수요일에 연구실을 예약했어요. 캘린더 초대에는 위치 및 장비 세부정보가 포함됩니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
에이버리 마르티네즈",0,legitimate,low,1.0
"경고합니다. 저는 IRS 컴플라이언스팀입니다. 귀하의 계정에 보안 문제가 있습니다. 양호한 상태를 유지하려면 오늘 공식적인 단계에 따라 계정을 검토하세요. 응답하지 않으면 보류될 수 있습니다.

키워드: 공식 트위터

올림
조던 리",1,authority_scam,high,0.89
"제목: 연구토론

제안서 초안을 첨부합니다. 고객을 위해 마무리할 수 있도록 금요일까지 피드백을 주시면 감사하겠습니다.

만나기 전에 자유롭게 메모를 추가하세요.

드림
에이버리 파텔",0,legitimate,low,1.0
"고객님, 이민 회계팀입니다. 귀하의 계정에 정책 관련 문제가 있습니다. 양호한 상태를 유지하려면 오늘 기밀 단계에 따라 계정을 검토하세요. 응답하지 않으면 계정이 정지될 수 있습니다.

키워드: 마스터카드 대표이사/총재 비자

보안팀,
샘 칸",1,authority_scam,high,0.86
"제목: 팀 점심 계획

지난 회의의 의사록을 찾아보십시오. 편의를 위해 작업 항목은 마지막에 나열됩니다.

문서를 검토해 주셔서 감사합니다.

드림
케이시 칸",0,legitimate,low,0.99
"[안내] 수신인 귀하, 귀하의 로그인이 제한되었습니다. 보안 링크를 사용하여 비밀번호를 재설정하고 액세스를 복원하세요. 계속하려면 인증 코드를 입력하세요.

키워드 : 로그인 비밀번호 개인정보 비밀번호 사용자 이름

계정 서비스,
조던 응우옌",1,credential_harvesting,high,0.8
"제목: 연구실 예약 확인

내일 훈련 세션에 대해 간단히 알려드립니다. 자료는 공유드라이브에 있습니다.

만나기 전에 자유롭게 메모를 추가하세요.

드림
테일러 칸",0,legitimate,low,1.0
"[안내] 수신인 귀하, 귀하의 계정과 관련하여 48시간 전에 공지해 드립니다. 귀하의 액세스 권한은 오늘 만료됩니다. 방해를 받지 않으려면 지금 행동하십시오. 이 제안은 마지막 기회이며 곧 종료됩니다. 즉시 지침을 따르십시오.

키워드: 마감일 현재 48시간 최종 공지

지원 데스크,
라일리 리",1,urgency,medium,0.89
"제목: 연구실 가용성

다음주 수요일에 연구실을 예약했어요. 캘린더 초대에는 위치 및 장비 세부정보가 포함됩니다.

만나기 전에 자유롭게 메모를 추가하세요.

드림
케이시 가르시아",0,legitimate,low,0.97
"제목: 예산 계획

수정된 문서를 예제와 함께 공유합니다. 끝점은 섹션 2에 설명되어 있습니다.

만나기 전에 자유롭게 메모를 추가하세요.

드림
모건 응우옌",0,legitimate,low,0.99
"제목: 컨퍼런스 등록

좋은 아침입니다. 업데이트된 다음 주 일정이 아래에 포함되어 있습니다. 항목을 확인하고 의견을 추가하세요.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
라일리 싱",0,legitimate,low,0.98
"제목: 성과 피드백

다음주 수요일에 연구실을 예약했어요. 캘린더 초대에는 위치 및 장비 세부정보가 포함됩니다.

만나기 전에 자유롭게 메모를 추가하세요.

드림
카메론 싱",0,legitimate,low,0.99
"IT 부서에서 귀하의 워크스테이션에서 맬웨어 감염을 감지했습니다. 바이러스 백신 검사를 실행하고 제공된 링크에서 보안 패치를 설치하여 문제를 해결하십시오.

키워드: 스파이웨어, 패치, 시스템 관리자, 문제, 오류, 기술 지원

감사합니다,
케이시 응우옌",1,tech_support,high,0.93
"제목: 사무실 유지보수

수정된 문서를 예제와 함께 공유합니다. 새로운 엔드포인트는 섹션 2에 설명되어 있습니다.

타이밍이 맞는지 알려주세요.

드림
라일리 파텔",0,legitimate,low,0.98
"제목: 탑승을 환영합니다

워크숍에 참석해 주셔서 감사합니다. 다음은 참고 자료 및 슬라이드 데크에 대한 링크입니다.

타이밍이 맞는지 알려주세요.

드림
샘 칸",0,legitimate,low,1.0
"제목: 문서 검토

수정된 문서를 예제와 함께 공유합니다. 새로운 엔드포인트는 섹션 2에 설명되어 있습니다.

타이밍이 맞는지 알려주세요.

드림
에이버리 싱",0,legitimate,low,0.95
"제목: 강의실 물류

내일 훈련 세션에 대해 간단히 알려드립니다. 자료는 공유드라이브에 있습니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
샘 싱",0,legitimate,low,0.97
"계정 소유자님, 귀하의 프로필이 제한되었습니다. 보안 링크를 사용하여 비밀번호를 업데이트하고 액세스를 복원하세요. 계속하려면 인증 코드를 입력하세요.

키워드: 보안 코드 로그인

감사합니다,
라일리 파텔",1,credential_harvesting,high,0.89
"안녕하세요 페이팔 보안팀입니다. 귀하의 계정에 정책 위반이 있습니다. 양호한 상태를 유지하려면 오늘 기밀 단계에 따라 계정을 검토하세요. 미응답시 이용이 제한될 수 있습니다.

키워드: 트위터 FBI

컴플라이언스팀,
모건 파텔",1,authority_scam,high,0.8
"제목: 성과 피드백

워크숍에 참석해 주셔서 감사합니다. 다음은 참고자료와 슬라이드 데크에 대한 링크입니다.

문서를 검토해 주셔서 감사합니다.

드림
샘 리",0,legitimate,low,0.97
"안녕하세요, 마지막 경고입니다. 응답하지 않으면 귀하의 계정이 보류됩니다. 벌금을 피하려면 즉각적인 조치가 필요합니다. 귀하의 사건이 해결되지 않은 경우 판사에게 회부됩니다.

키워드: 소송벌금 보류

위험 운영,
카메론 웡",1,threats,high,0.9
"주의, 새로운 알림이 있습니다. 업데이트를 보려면 여기를 클릭하십시오. 귀하의 편의를 위해 링크와 첨부 파일이 포함되어 있습니다. 자동 생성된 이 메시지에 답장하지 마세요.

키워드: 공유, 여기를 클릭하세요, 읽은 후 삭제, 민감, 공유하지 않음

컴플라이언스팀,
알렉스 응우옌",1,generic_phishing,medium,0.66
"제목: 주간 현황 보고서

안녕하세요. 목요일 오후 2시 회의실에서 회의를 확인합니다. 검토를 위해 초안 슬라이드를 가져오십시오.

만나기 전에 자유롭게 메모를 추가하세요.

드림
제이미 파텔",0,legitimate,low,0.95
"제목 : 일정 확인

제안서 초안을 첨부합니다. 고객을 위해 마무리할 수 있도록 금요일까지 피드백을 주시면 감사하겠습니다.

타이밍이 맞는지 알려주세요.

드림
제이미 리",0,legitimate,low,0.96
"고객님, 법규준수팀입니다. 귀하의 계정에 정책 위반이 있습니다. 양호한 상태를 유지하려면 오늘 공식적인 단계에 따라 계정을 검토하세요. 응답하지 않으면 계정이 정지될 수 있습니다.

키워드 : 변호사 CEO

IT 데스크,
모건 가르시아",1,authority_scam,high,0.92
"[안내] 수신인 귀하, 귀하의 계정을 확인해야 합니다. 액세스를 복원하려면 비밀번호를 재설정하고 사용자 이름, 2FA 인증 코드 및 복구 키를 입력하세요.

키워드 : 개인정보, 보안질문, 로그인

보안팀,
제이미 파텔",1,credential_harvesting,high,0.8
"안녕하세요. 귀하의 계정에서 비정상적인 활동이 감지되었습니다. 액세스를 복원하려면 정보를 업데이트하세요. 귀하의 계정은 재활성화될 때까지 제한될 수 있습니다.

키워드: 무단 복원 위반

계정 서비스,
알렉스 김",1,social_engineering,high,0.81
"안녕하세요. 귀하의 계정과 관련하여 긴급 공지를 드립니다. 귀하의 액세스 권한이 곧 만료됩니다. 중단을 피하려면 지금 행동하고 지침을 즉시 따르십시오. 이 작업은 시간에 민감한 작업이므로 곧 종료됩니다.

키워드: 즉시, 마지막 기회, 최종 통지, 오늘만, 서둘러, 24시간

컴플라이언스팀,
샘 웡",1,urgency,high,0.89
"제목: 교육 세션 메모

내일 훈련 세션에 대해 간단히 알려드립니다. 자료는 공유드라이브에 있습니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
케이시 리",0,legitimate,low,0.95
"안녕하세요 사기예방 컴플라이언스팀입니다. 귀하의 계정에 보안 문제가 있습니다. 양호한 상태를 유지하려면 오늘 기밀 단계에 따라 계정을 검토하세요. 미응답시 이용이 제한될 수 있습니다.

키워드: 미국 은행 Spotify WhatsApp 비자 승인/취득(Visa Acquisition)

올림
샘 응우옌",1,authority_scam,high,0.95
"제목: 사무실 유지보수

지난 회의의 의사록을 찾아보십시오. 편의를 위해 작업 항목은 메모 끝에 나열되어 있습니다.

오늘 나중에 슬라이드를 공유하겠습니다.

드림
제이미 파텔",0,legitimate,low,0.98
"제목: 문서 검토

다음주 수요일에 연구실을 예약했어요. 캘린더 초대에는 위치 및 장비 세부정보가 포함됩니다.

오늘 나중에 슬라이드를 공유하겠습니다.

드림
알렉스 가르시아",0,legitimate,low,0.97
"친애하는 고객님, 컨퍼런스 후에 다시 미팅에 대해 이야기를 나눴습니다. 출장 중에 예상치 못한 상황이 발생했습니다. 호텔에서 지갑을 도난당해 결제 인증에 실패했습니다. 임시 대출을 도와주실 수 있나요? 다음주에 다시 이전하겠습니다.

키워드 : 우리가 만났어요, 군인, 의사

컴플라이언스팀,
케이시 리",1,romance_dating,high,0.87
"제목: 온보딩 체크리스트

워크숍에 참석해 주셔서 감사합니다. 다음은 참고자료와 슬라이드 데크에 대한 링크입니다.

오늘 나중에 슬라이드를 공유하겠습니다.

드림
조던 파텔",0,legitimate,low,0.99
"주의, 귀하의 계정에서 로그인 시도가 감지되었습니다. 액세스 권한을 확인하려면 정보를 확인하세요. 귀하의 계정은 복구될 때까지 잠길 수 있습니다.

키워드: 제한된 로그인 시도 위반 무단 손상

위험 운영,
조던 리",1,social_engineering,high,0.87
"제목: 코드 검토 요약

지난 회의의 의사록을 찾아보십시오. 편의를 위해 작업 항목은 마지막에 나열됩니다.

문서를 검토해 주셔서 감사합니다.

드림
조던 브라운",0,legitimate,low,0.96
"안녕하세요, 축하드립니다! 귀하는 경품 당첨자로 선정되었습니다. ₹80,000의 결제 금액을 상환하려면 총액을 처리할 신용카드를 제시하세요. 이 거래는 오늘만 가능합니다.

키워드: 수입환급금액 이체

보안팀,
케이시 리",1,financial_scam,medium,0.74
"제목: 강의실 물류

분석에 도움을 주셔서 감사합니다. 명확성을 위해 변경 사항을 푸시하고 PR에 의견을 남겼습니다.

오늘 나중에 슬라이드를 공유하겠습니다.

드림
모건 김",0,legitimate,low,0.95
"친애하는 고객님께 새로운 알림이 왔습니다. 업데이트를 보려면 여기를 클릭하십시오. 귀하의 편의를 위해 링크와 첨부 파일이 포함되어 있습니다. 자동 생성된 이 메시지에 답장하지 마세요.

키워드 : 답장하지 않음, 답장하지 않음, 방문, 공지

감사합니다,
테일러 브라운",1,generic_phishing,low,0.74
"사용자 여러분, 마지막 경고입니다. 응답하지 않으면 귀하의 계정이 보류됩니다. 법적 조치를 피하기 위해서는 즉각적인 조치가 필요합니다. 귀하의 사건이 해결되지 않은 경우 판사에게 회부됩니다.

키워드: 기본 삭제 최종 경고 종료

IT 데스크,
모건 브라운",1,threats,high,0.83
"🚨 [보안 공지] 귀하의 계정에 관한 긴급 공지입니다. 귀하의 액세스 권한이 곧 만료됩니다. 중단을 피하려면 지금 행동하고 지침을 즉시 따르십시오. 이 작업은 시간에 민감한 작업이므로 곧 종료됩니다.

키워드: 마감일, 최대한 빨리, 재고 소진 시까지

컴플라이언스팀,
제이미 웡",1,urgency,high,0.78
"제목: 연구토론

수정된 문서를 예제와 함께 공유합니다. 새로운 엔드포인트는 섹션 2에 설명되어 있습니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
제이미 김",0,legitimate,low,0.95
"주의, 이것은 귀하의 계정에 관한 현재의 통지입니다. 귀하의 액세스 권한은 24시간 이내에 만료됩니다. 중단을 방지하려면 최대한 빨리 응답하세요. 이 제안은 시간에 민감하며 곧 종료됩니다. 지금 지침을 따르십시오.

키워드: 24시간 지금 행동하세요

감사합니다,
라일리 가르시아",1,urgency,high,0.9
"친애하는 고객님, 귀하의 로그인이 일시 중지되었습니다. 보안 링크를 사용하여 비밀번호를 업데이트하고 액세스를 복원하세요. 계속하려면 2FA 코드를 입력하세요.

키워드: 로그인 개인 정보

계정 서비스,
제이미 웡",1,credential_harvesting,high,0.94
"계정주님, 계정서비스 계정팀입니다. 귀하의 계정에 보안 위반 사항이 있습니다. 양호한 상태를 유지하려면 오늘 기밀 단계에 따라 계정을 검토하세요. 응답하지 않으면 보류될 수 있습니다.

키워드: 페이팔 인수

위험 운영,
에이버리 파텔",1,authority_scam,high,0.8
"제목: 성과 피드백

좋은 아침입니다. 업데이트된 다음 주 일정이 아래에 포함되어 있습니다. 항목을 확인하고 의견을 추가하세요.

만나기 전에 자유롭게 메모를 추가하세요.

드림
조던 가르시아",0,legitimate,low,0.95
"제목: 송장 확인

분석에 도움을 주셔서 감사합니다. 명확성을 위해 변경 사항을 푸시하고 PR에 설명을 추가했습니다.

타이밍이 맞는지 알려주세요.

드림
알렉스 리",0,legitimate,low,0.97
"안녕하세요. IT 부서에서 귀하의 워크스테이션에서 맬웨어 감염을 감지했습니다. 바이러스 백신 검사를 실행하고 제공된 링크에서 보안 패치를 설치하여 문제를 해결하십시오.

키워드: 오류, 버그, 수리, 기술지원, 스파이웨어

지원 데스크,
케이시 리",1,tech_support,high,0.95
"[안내] 수신인 귀하, 귀하의 계정과 관련하여 긴급 공지를 드립니다. 귀하의 액세스 권한이 곧 만료됩니다. 중단을 피하려면 지금 행동하고 지침을 즉시 따르십시오. 이 작업은 시간에 민감한 작업이므로 곧 종료됩니다.

키워드: 빠른, 곧 만료됨, 서두르다, 곧 종료됨

올림
조던 킴",1,urgency,medium,0.79
"제목: 예산 계획

워크숍에 참석해 주셔서 감사합니다. 다음은 참고자료와 슬라이드 데크에 대한 링크입니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
조던 브라운",0,legitimate,low,0.96
"제목: 네트워킹 이벤트 세부정보

워크숍에 참석해 주셔서 감사합니다. 다음은 참고 자료 및 슬라이드 데크에 대한 링크입니다.

만나기 전에 자유롭게 메모를 추가하세요.

드림
케이시 싱",0,legitimate,low,0.97
"제목: 송장 확인

분석에 도움을 주셔서 감사합니다. 명확성을 위해 변경 사항을 푸시하고 PR에 설명을 추가했습니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
모건 브라운",0,legitimate,low,0.98
"[안내] 수신인 귀하, IT 부서에서 귀하의 워크스테이션에서 맬웨어 감염을 감지했습니다. 바이러스 백신 검사를 실행하고 제공된 링크에서 보안 패치를 설치하여 문제를 해결하십시오.

키워드: IT 부서, 데이터베이스, 업데이트

감사합니다,
카메론 가르시아",1,tech_support,high,0.92
"경고합니다. 이는 귀하의 계정에 관한 즉각적인 알림입니다. 오늘 귀하의 접근이 제한됩니다. 방해를 받지 않으려면 지금 행동하십시오. 이 제안은 시간에 민감하며 자정에 만료됩니다. 지금 지침을 따르십시오.

키워드: 한정 혜택 즉시 종료

올림
조던 가르시아",1,urgency,high,0.79
"제목: 교육 세션 메모

분석에 도움을 주셔서 감사합니다. 명확성을 위해 변경 사항을 푸시하고 PR에 의견을 남겼습니다.

타이밍이 맞는지 알려주세요.

드림
테일러 가르시아",0,legitimate,low,0.98
"🚨 [보안 공지] 이는 귀하의 계정에 관한 긴급한 공지입니다. 귀하의 액세스 권한이 곧 만료됩니다. 중단을 방지하려면 최대한 빨리 응답하세요. 이 제안은 마지막 기회이며 자정에 만료됩니다. 지금 지침을 따르십시오.

키워드: 즉시 기다리지 마세요

계정 서비스,
모건 싱",1,urgency,high,0.86
"귀하의 계정에서 보안 경고가 감지되었습니다. 액세스 권한을 확인하려면 정보를 확인하세요. 귀하의 계정은 복구될 때까지 잠길 수 있습니다.

키워드: 보안 비활성화됨

보안팀,
모건 리",1,social_engineering,high,0.89
"[안내] 수신인 귀하, 귀하의 프로필이 잠겼습니다. 보안 링크를 사용하여 비밀번호를 업데이트하고 액세스를 복원하세요. 계속하려면 사용자 이름과 비밀번호를 입력하세요.

키워드: 로그인 복구 키

보안팀,
테일러 브라운",1,credential_harvesting,high,0.94
"IT 부서에서 귀하의 워크스테이션에서 맬웨어 감염을 감지했습니다. 바이러스 백신 검사를 실행하고 제공된 링크에서 보안 패치를 설치하여 문제를 해결하십시오.

키워드: 기술 지원, 방화벽, 헬프 데스크, 기술 지원, 유지 관리

올림
샘 리",1,tech_support,high,0.82
"제목: 프로젝트 업데이트

좋은 아침입니다. 업데이트된 다음 주 일정이 아래에 포함되어 있습니다. 항목을 확인하고 의견을 추가하세요.

만나기 전에 자유롭게 메모를 추가하세요.

드림
알렉스 리",0,legitimate,low,0.99
"[안내] 수신인 귀하, IT 부서에서 귀하의 워크스테이션에서 맬웨어 감염을 감지했습니다. 바이러스 백신 검사를 실행하고 제공된 링크에서 보안 패치를 설치하여 문제를 해결하십시오.

키워드: IT 부서, 지원팀, 업그레이드, 네트워크

IT 데스크,
라일리 리",1,tech_support,high,0.91
"귀하의 계정에 확인이 필요합니다. 액세스를 복원하려면 비밀번호를 재설정하고 사용자 이름, 2FA 인증 코드 및 복구 키를 입력하세요.

키워드: 계정 복구, 백업 코드, 2단계, 보안 코드

감사합니다,
카메론 브라운",1,credential_harvesting,high,0.96
"안녕하세요. 회의 후에 다시 만나자고 이야기를 나눴습니다. 출장 중에 예상치 못한 상황이 발생했습니다. 호텔에서 지갑을 도난당해 결제 인증에 실패했습니다. 임시 대출을 도와주실 수 있나요? 다음주에 다시 이전하겠습니다.

키워드: 지갑 도난, 카드 교체, 출장

컴플라이언스팀,
제이미 싱",1,romance_dating,high,0.92
"안녕하세요. 귀하의 계정에서 로그인 시도가 감지되었습니다. 액세스 권한을 확인하려면 정보를 확인하세요. 귀하의 계정은 복구될 때까지 잠길 수 있습니다.

키워드: 데이터 유출 제한

계정 서비스,
케이시 브라운",1,social_engineering,high,0.88
"사용자 여러분, 귀하의 계정과 관련하여 빠른 공지를 드립니다. 곧 액세스가 제한됩니다. 중단을 방지하려면 최대한 빨리 응답하세요. 이 제안은 시간에 민감하며 곧 종료됩니다. 지금 지침을 따르십시오.

키워드: 최대한 빨리 종료됩니다.

감사합니다,
에이버리 마르티네즈",1,urgency,high,0.77
"제목: 성과 피드백

제안서 초안을 첨부합니다. 고객을 위해 마무리할 수 있도록 금요일까지 피드백을 주시면 감사하겠습니다.

이 초안에 대한 귀하의 의견에 감사드립니다.

드림
샘 파텔",0,legitimate,low,0.99
"사용자님, 새로운 알림이 왔습니다. 업데이트를 보려면 여기를 클릭하십시오. 귀하의 편의를 위해 링크와 첨부 파일이 포함되어 있습니다. 자동 생성된 이 메시지에 답장하지 마세요.

키워드: 업데이트, 공지, 기밀

컴플라이언스팀,
조던 킴",1,generic_phishing,low,0.89
